IP, IX_country, MM_country, IP_country, IP2_country, IX_city, MM_city, IP_city, IP2_city, IX_lat, MM_lat, IP_lat, ip2_lat, IX_long, MM_long, IP_long, IP2_long, IXMM_distance, IXIP_distance, IXIP2_distance, MMIP_distance, MMIP2_distance, IPIP2_distance, IXMMIPIP2_distance_agreement, IXMMIPIP2_country_agreement
206.248.141.13,CA,CA,CA,CA,Montreal,Toronto,Chatham,Chatham,45.51,43.6591,42.4122,42.38095,-73.55,-79.4626,-82.1849,-82.218735,6.1955362616968,9.173759471994,9.2161771034809,2.9942740188567,3.0380828758816,0.046058329594111,1,1
206.248.155.90,CA,CA,CA,CA,Montreal,Chatham,Chatham,Chatham,45.51,42.4211,42.4122,42.38095,-73.55,-82.1939,-82.1849,-82.218735,9.1792325616034,9.173759471994,9.2161771034809,0.012657408897562,0.047210165483719,0.046058329594111,1,1
184.105.80.85,GB,US,US,US,London,,Philadelphia,Fremont,51.51,37.751,39.9523,37.51798,-0.13,-97.822,-75.1638,-121.92949,98.656155129825,75.918716873575,122.600539917,22.764879725797,24.108616144866,46.829004634292,0,0
184.104.192.242,US,US,US,US,New York,,New York City,Fremont,40.72,37.751,40.7143,37.51798,-74,-97.822,-74.006,-121.92949,24.006304276169,0.0082758685344786,48.036329415771,23.999645890929,24.108616144866,48.029963099325,1,1
66.163.76.198,CA,CA,CA,CA,Edmonton,Winnipeg,Vancouver,Calgary,53.57,49.8179,49.2497,51.050743,-113.52,-97.1535,-123.1193,-114.07595,16.791086226329,10.526706635031,2.5798713600777,25.972016111192,16.967298425652,9.22095087886,0,1
204.101.5.61,CA,CA,CA,CA,Simcoe,Roseneath,Toronto,Ottawa,42.8334,44.1915,43.7001,45.420025,-80.2997,-78.0575,-79.4163,-75.69244,2.6214302298554,1.2375639175412,5.2836988557473,1.4449260880751,2.6651045906728,4.1018624191,1,1
64.71.148.166,US,US,US,US,Seattle,,Brentwood,Fremont,47.61,37.751,37.9319,37.51798,-122.33,-97.822,-121.6958,-121.92949,26.416698222904,9.6988571105053,10.099964155407,23.874485360945,24.108616144866,0.47533228640604,0,1
154.54.0.166,US,US,US,US,Atlanta,,Washington,Washington,33.76,37.751,38.9014,38.901566,-84.39,-97.822,-77.0504,-77.05078,14.012376850485,8.9612344082721,8.9610184209584,20.803432089922,20.803061851775,0.00041467577696955,1,1
24.215.101.246,CA,CA,CA,CA,Dartmouth,Wolfville,Truro,Halifax,44.6667,45.0834,45.3668,44.656353,-63.5667,-64.3655,-63.2654,-63.59608,0.90095523196217,0.762182196066,0.03114875292849,1.1360174162397,0.87998652069733,0.78363524819204,1,1
65.49.80.230,US,US,US,US,Phoenix,,San Jose,Los Angeles,33.45,37.751,37.3394,34.05223,-112.07,-97.822,-121.895,-118.24368,14.88301397567,10.566837623433,6.2029836139797,24.076518509951,20.753937301999,4.9130056331435,1,1
64.251.81.90,CA,CA,CA,CA,Vancouver,Vancouver,Vancouver,Fort Langley,49.25,49.2824,49.2497,49.16812,-123.133,-123.0399,-123.1193,-122.58004,0.098576721389985,0.013703284277866,0.55898935231362,0.085869959822974,0.47384716734408,0.54539585990361,1,1
65.19.155.129,CA,US,CA,US,Vancouver,,Vancouver,Fremont,49.25,37.751,49.2497,37.51798,-123.1,-97.822,-123.1193,-121.92949,27.770565082475,0.019302331465397,11.79026661872,27.78800980603,24.108616144866,11.791899846696,0,0
64.125.24.186,US,US,US,US,San Francisco,,San Francisco,Louisville,37.78,37.751,37.7749,39.96642,-122.42,-97.822,-122.4194,-105.1542,24.59801709488,0.0051351728305866,17.403685875595,24.597411611184,7.6595850159392,17.403732098329,1,1
66.163.78.85,CA,CA,CA,CA,Vancouver,Winnipeg,Vancouver,Montreal,49.25,49.8179,49.2497,45.50884,-123.1,-97.1535,-123.1193,-73.58781,25.952714167501,0.019302331465397,49.653330570483,25.972016111192,23.956413405593,49.672553137117,0,1
216.66.36.102,US,US,US,US,New York,,Grayson,Ashburn,40.72,37.751,33.8943,39.04372,-74,-97.822,-83.9557,-77.48749,24.006304276169,12.07087995881,3.8694316299038,14.392651270006,20.375559426394,8.2676639349033,1,1
216.187.88.46,CA,CA,CA,US,Markham,,Toronto,New York City,43.821276,43.6319,43.7001,40.703873,-79.237719,-79.3716,-79.4163,-74.012184,0.2319210890303,0.21581194716003,6.0847693054572,0.081543424014449,6.1071009467492,6.1791460556443,1,0
216.218.213.101,US,US,US,US,San Jose,,Fremont,Kansas City,37.34,37.751,37.5176,39.09973,-121.89,-97.822,-121.9287,-94.57857,24.071508988844,0.18176757136519,27.368062743238,24.107829857745,3.5126785759303,27.395852721786,1,1
184.105.80.193,US,US,US,US,San Jose,,San Jose,Fremont,37.34,37.751,37.3394,37.51798,-121.89,-97.822,-121.895,-121.92949,24.071508988844,0.0050358713248018,0.18230836651125,24.076518509951,24.108616144866,0.18188011573562,1,1
64.86.79.41,US,US,US,US,Chicago,,Chicago,Dallas,41.853102,37.751,41.85,32.78306,-87.618817,-97.822,-87.65,-96.80667,10.996917029327,0.031336909435997,12.910550128921,10.966831128453,5.0706333778434,12.886194413111,1,1
216.187.118.255,US,CA,CA,CA,Washington,Vancouver,Vancouver,Vancouver,38.902749,49.2526,49.2497,49.24966,-77.029308,-123.1236,-123.1193,-123.11934,47.241964086006,47.237133248711,47.237163515636,0.0051865209919587,0.0051760216382887,5.6568542492782E-5,0,0
66.163.74.97,CA,CA,CA,CA,,Winnipeg,Vancouver,Vancouver,60,49.8179,49.2497,49.24966,-95,-97.1535,-123.1193,-123.11934,10.407339845513,30.104218684098,30.104270330822,25.972016111192,25.972056976743,5.6568542492782E-5,0,1
54.239.108.246,US,US,US,US,,Ashburn,Virginia Beach,Ashburn,38,39.0481,36.7754,39.04372,-97,-77.4728,-75.9633,-77.48749,19.555307551915,21.072313400526,19.540404241942,2.7283246764269,0.015329073683677,2.7328429846041,1,1
54.239.109.13,US,US,US,US,,Ashburn,Virginia Beach,Ashburn,38,39.0481,36.7754,39.04372,-97,-77.4728,-75.9633,-77.48749,19.555307551915,21.072313400526,19.540404241942,2.7283246764269,0.015329073683677,2.7328429846041,1,1
64.86.79.89,US,US,US,US,Chicago,,Chicago,Dallas,41.853102,37.751,41.85,32.78306,-87.618817,-97.822,-87.65,-96.80667,10.996917029327,0.031336909435997,12.910550128921,10.966831128453,5.0706333778434,12.886194413111,1,1
66.198.154.26,US,US,US,US,Sterling,,Ashburn,Ashburn,39.014693,37.751,39.0437,39.03408,-77.457883,-97.822,-77.4875,-77.4885,20.403288489553,0.041455671964161,0.036238880473884,20.375548177656,20.373942096129,0.0096718353997561,1,1
66.198.111.5,US,US,US,US,New York,,Newark,Newark,40.717855,37.751,40.7357,40.7334,-74.008879,-97.822,-74.1724,-74.1735,23.997228180598,0.16449182796115,0.16535332069845,23.837198120794,23.835818886919,0.0025495097567983,1,1
80.231.130.34,US,PT,US,GB,Newark,Oeiras,Newark,Quebec,40.74,38.691,40.7357,54.7884,-74.19,-9.3108,-74.1724,-1.72465,64.911547459909,0.018117670931995,73.814527656705,64.893820604507,17.795391498433,73.798068113959,0,0
216.66.79.34,US,US,US,US,Kansas City,Bloomingdale,Chicago,Minneapolis,39.1,40.3742,41.85,44.97997,-94.58,-80.8072,-87.65,-93.26384,13.83161615575,7.4556958092454,6.02547295625,7.0001355329736,13.280850777812,6.4274343051096,1,1
64.86.21.1,US,US,US,US,San Jose,,San Jose,San Jose,37.238699,37.751,37.3394,37.229656,-121.775876,-97.822,-121.895,-121.786545,23.959353658602,0.15598467481455,0.013985828899287,24.076518509951,23.970215197686,0.15429268472937,1,1
216.187.88.118,US,CA,US,US,Seattle,,Seattle,New York City,47.614398,43.6319,47.6062,40.703873,-122.339554,-79.3716,-122.3321,-74.012184,43.15211885025,0.011080131768176,48.818951718493,43.143940718715,6.1071009467492,48.810412826179,0,0
180.87.180.33,US,IN,GU,JP,Los Angeles,,Piti Village,Tokyo,34.05,20.0063,13.4626,35.689507,-118.25,77.006,144.6933,139.6917,195.7603919226,263.74802379099,257.94691039455,68.002871931853,64.617799144623,22.782699518421,0,0
216.187.124.177,US,CA,US,US,New York,,New York City,New York City,40.6888,43.6319,40.7143,40.703873,-74.0203,-79.3716,-74.006,-74.012184,6.107229265387,0.029235936790194,0.017119135054086,6.107540676901,6.1071009467492,0.012122878577304,1,0
216.187.89.3,US,CA,US,US,Miami,,Miami,New York City,25.795435,43.6319,25.7743,40.703873,-80.343153,-79.3716,-80.1937,-74.012184,17.862905668676,0.1509400127004,16.196996390652,17.876513255386,6.1071009467492,16.158690851074,1,0
67.69.246.34,US,CA,CA,CA,Chicago,Toronto,Toronto,Toronto,41.88,43.6456,43.7001,43.70011,-87.63,-79.4569,-79.4163,-79.4163,8.3616330324883,8.4129442943597,8.4129464578173,0.067960356090882,0.067968375734601,1.0000000003174E-5,1,0
154.54.30.42,US,US,US,US,Miami,,Washington,Washington,25.79,37.751,38.9014,38.901566,-80.22,-97.822,-77.0504,-77.05078,21.281351578319,13.489076103277,13.489148171058,20.803432089922,20.803061851775,0.00041467577696955,1,1
154.54.58.225,US,US,US,US,Atlanta,,Washington,Washington,33.76,37.751,38.9014,38.901566,-84.39,-97.822,-77.0504,-77.05078,14.012376850485,8.9612344082721,8.9610184209584,20.803432089922,20.803061851775,0.00041467577696955,1,1
66.198.111.125,US,US,US,US,Newark,,Newark,Newark,40.74,37.751,40.7357,40.7334,-74.19,-97.822,-74.1724,-74.1735,23.820275921996,0.018117670931995,0.017771043863537,23.837198120794,23.835818886919,0.0025495097567983,1,1
54.239.108.144,US,US,US,US,,Ashburn,Virginia Beach,Ashburn,38,39.0481,36.7754,39.04372,-97,-77.4728,-75.9633,-77.48749,19.555307551915,21.072313400526,19.540404241942,2.7283246764269,0.015329073683677,2.7328429846041,1,1
54.239.108.159,US,US,US,US,,Ashburn,Virginia Beach,Ashburn,38,39.0481,36.7754,39.04372,-97,-77.4728,-75.9633,-77.48749,19.555307551915,21.072313400526,19.540404241942,2.7283246764269,0.015329073683677,2.7328429846041,1,1
63.243.152.61,US,US,US,US,Miami,Hollywood,Miami,Miami,25.79,26.0162,25.7743,25.78629,-80.22,-80.1955,-80.1937,-80.18983,0.22752294389798,0.030629724125423,0.030397253165375,0.24190669688952,0.22997990564395,0.012599087268531,1,1
206.108.34.27,CA,CA,CA,CA,Toronto,,Toronto,Toronto,43.644671,43.6319,43.6404,43.649242,-79.384241,-79.3716,-79.3995,-79.39096,0.017969232649172,0.01584545745632,0.0081264384572849,0.029166076184501,0.025991432511507,0.012292785038386,1,1
206.108.35.30,CA,CA,CA,CA,Toronto,,Toronto,Toronto,43.644671,43.6319,43.6404,43.649242,-79.384241,-79.3716,-79.3995,-79.39096,0.017969232649172,0.01584545745632,0.0081264384572849,0.029166076184501,0.025991432511507,0.012292785038386,1,1
72.52.92.10,US,US,CA,US,Portland,,Moncton,Fremont,45.52,37.751,46.0945,37.51798,-122.68,-97.822,-64.7965,-121.92949,26.043761729059,57.88635091712,8.0371381312318,34.06314199395,24.108616144866,57.773135985945,0,0
154.54.29.118,US,US,US,US,Sterling,,Washington,Washington,39.04,37.751,38.9014,38.901566,-77.49,-97.822,-77.0504,-77.05078,20.372818778952,0.46093179538843,0.46051946837891,20.803432089922,20.803061851775,0.00041467577696955,1,1
64.125.30.90,US,US,GB,US,Seattle,,London,Louisville,47.61,37.751,51.5085,39.96642,-122.33,-97.822,-0.1257,-105.1542,26.416698222904,122.26646817807,18.799798425951,98.660203932183,7.6595850159392,105.6608036264,0,0
184.105.48.202,CA,US,US,US,Windsor,Minneapolis,Sardinia,Minneapolis,42.33,44.8696,39.0078,44.97997,-83.05,-93.3266,-83.8085,-93.26384,10.585748708523,3.4076876456037,10.552007796931,11.178323973208,0.126965958036,11.183481972288,1,0
184.105.30.61,US,US,US,US,Chicago,,Eau Claire,New York City,41.88,37.751,44.8113,40.71427,-87.63,-97.822,-91.4985,-74.00597,10.996613342298,4.8536390409671,13.673811461103,9.4781057358525,23.999671957212,17.965919420442,1,1
184.105.64.149,US,US,US,US,Chicago,,Kansas City,Fremont,41.88,37.751,39.1142,37.51798,-87.63,-97.822,-94.6275,-121.92949,10.996613342298,7.5242711201817,34.575746307788,3.4732037789338,24.108616144866,27.348611962008,1,1
64.230.187.94,US,CA,US,CA,New York,,New York City,Ottawa,40.72,43.6319,40.7143,45.40242,-74,-79.3716,-74.006,-75.65395,6.1100939575427,0.0082758685344786,4.9659447901583,6.107540676901,4.117725414947,4.9693267488564,1,0
64.125.28.74,US,US,US,US,Louisville,,Chicago,Chicago,39.9469,37.751,41.85,41.85003,-105.2142,-97.822,-87.65,-87.65005,7.7114588535503,17.667000629705,17.666954152298,10.966831128453,10.966795965249,5.8309518935278E-5,1,1
66.163.69.117,CA,CA,CA,CA,Vancouver,Vancouver,Vancouver,Vancouver,49.25,49.282,49.2497,49.24966,-123.1,-123.1103,-123.1193,-123.11934,0.03361681127055,0.019302331465397,0.01934298839373,0.033530433936947,0.033579714114326,5.6568542492782E-5,1,1
